Section I - Assets,Foreign Currency,Total Currency,P_Tags
(a) Insurance-related assets,24775,12917498,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(b) Accrued interest,17588868,32526210,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,2112727,8683168,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(d) Goodwill,49697627,71164703,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) with definite lives,8936319,24063463,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) with indefinite lives,11538,5260628,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(f) Deferred tax assets,7371126,17804328,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,1296632874,352521643,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,30046217,43831725,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,16988464,19204977,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(j) Other,160171504,207667852,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
Total  Assets,5312762181,8687960264,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
