Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",12121151,132239216,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",324554539,338359114,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8766938,147064860,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,28929763,329608808,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,1014539936,1090830762,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,301684671,447140868,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Domestic Banks, As At July 31, 2024, (in thousands of dollars), Total Domestic Banks, As At July 31, 2024, (in thousands of dollars)"
