Section I - Assets,Foreign Currency,Total Currency,P_Tags
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(vi) To individuals for non-business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(viii) To individuals and others for business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(A) Insured,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(B) Of which: NHA MBS pooled and unsold,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(C) Uninsured,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(ii) Non-residential,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,4422,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(b) Accrued interest,0,376,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(c) Prepaid and deferred charges,0,567,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(i) with definite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(ii) with indefinite lives,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(f) Deferred tax assets,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(g) Derivatives related amounts,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
(j) Other,0,3728,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
Total  Assets,0,89108,"As At June 30, 2024, (in thousands of dollars), Digital Commerce Bank"
