Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",159,13494,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(i) Treasury Bills and other short term paper,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(ii)Other securities,0,47061,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(i) Debt,0,2835,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(ii) Shares,0,97,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(vi) To individuals for non-business purposes,0,10856,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
Of (A) Secured by residential property,0,9219,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
which: (B) Secured by other than residential property,0,219,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(viii) To individuals and others for business purposes,0,798,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(A) Insured,0,872526,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(B) Of which: NHA MBS pooled and unsold,0,355363,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(C) Uninsured,0,104342,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(ii) Non-residential,0,28294,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(b) Accrued interest,0,2174,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(c) Prepaid and deferred charges,0,15227,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
(d) Goodwill,0,0,"As At June 30, 2024, (in thousands of dollars), CS Alterna Bank"
