Section I - Assets,Foreign Currency,Total Currency,P_Tags
(ii) Non-residential,34786418,67388870,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",222,19293,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",5351978,9571539,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,749439,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,3409923,5648999,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,322616,1794114,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,16583077,18700466,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,1147577,2972912,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,3253308,4719043,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,477620071,69826765,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14273972,14475435,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
(j) Other,48002546,46756781,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,1498468645,1967180754,"The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars), The Toronto-Dominion Bank, As At July 31, 2024, (in thousands of dollars)"
