Section I - Assets,Foreign Currency,Total Currency,P_Tags
3. Loans,3. Loans,3. Loans,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,282,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,56280,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,233795,"Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars), Vancity Community Investment Bank, As At July 31, 2024, (in thousands of dollars)"
