0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1600,6280,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",12445,234938,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
(ii)Other securities,0,48752,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
(i) Debt,0,125182,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
(ii) Shares,5724,35527,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars), Innovation Federal Credit Union, As At June 30, 2024, (in thousands of dollars)"
