Section I - Assets,Foreign Currency,Total Currency,P_Tags
Insurance-related assets,Insurance-related assets,Insurance-related assets,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Policy loans,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Premiums outstanding,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Due from other insurers,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Other,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Other assets,Other assets,Other assets,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Accrued interest,0,15140,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Prepaid and deferred charges,0,64705,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Goodwill,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Intangibles,Intangibles,Intangibles,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
with definite lives,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
with indefinite lives,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Future income taxes,0,39871,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Derivatives related amounts,0,2229,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Other,0,6310,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
Total assets,0,7430506,"Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars), Amicus Bank (Inactive Nov 01, 2006), As At August 31, 2005(in thousands of dollars)"
