Section I - Assets,Foreign Currency,Total Currency,P_Tags
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,4760,159656,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,27506,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,0,138701,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,0,236743,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,5735,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,0,36043,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,1300,123048,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
(j) Other,13,119393,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,1517539,42462058,"Canadian Western Bank, As At July 31, 2024, (in thousands of dollars), Canadian Western Bank, As At July 31, 2024, (in thousands of dollars)"
