Section I - Assets,Foreign Currency,Total Currency,P_Tags
"5. Land, buildings, and equipment, less accumulated depreciation",3283826,6942682,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,6508,6089095,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,5219511,7803189,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,368809,1649837,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,8597801,19125237,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,3144273,7704077,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,8971,327971,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,2039904,4405086,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,370525271,115659235,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,535208,844424,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
(j) Other,42974181,59754376,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,1372174002,2076107244,"Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars), Royal Bank of Canada, As At July 31, 2024, (in thousands of dollars)"
