Section I - Assets,Foreign Currency,Total Currency,P_Tags
3. Loans,3. Loans,3. Loans,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,0,21041,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,24723,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,677322,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,83247,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,443331,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,5,453404,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,5,431958,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(A) Insured,0,951027,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,151152,"Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars), Caisse populaire acadienne ltée (UNI), As At July 31, 2024, (in thousands of dollars)"
