Section I - Assets,Foreign Currency,Total Currency,P_Tags
To individuals and others for business purposes,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Residential,Residential,Residential,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Insured,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Uninsured,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Non-residential,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Customers' liability under acceptances, less allowances for impairment",0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
"Land, buildings, and equipment, less accumulated depreciation",0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Insurance-related assets,Insurance-related assets,Insurance-related assets,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Policy loans,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Premiums outstanding,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Due from other insurers,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other assets,Other assets,Other assets,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Accrued interest,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Prepaid and deferred charges,0,234,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Goodwill,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Intangibles,Intangibles,Intangibles,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
with definite lives,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
with indefinite lives,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Future income taxes,0,235,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Derivatives related amounts,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Other,0,21346,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
Total assets,0,1466907,"Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars), Sears Canada Bank (Inactive Dec 20, 2005), As At November 30, 2005(in thousands of dollars)"
