Section I - Assets,Foreign Currency,Total Currency,P_Tags
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,4938731,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(b) Accrued interest,2891116,4300324,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,172571,1331368,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(d) Goodwill,16205940,16641112,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(i) with definite lives,3123962,5080323,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,2600,52000,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,1456554,3268385,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,281249003,36834421,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,766102,1652656,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
(j) Other,41106592,55145444,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
Total  Assets,1064137475,1400469815,"Bank of Montreal, As At July 31, 2024, (in thousands of dollars), Bank of Montreal, As At July 31, 2024, (in thousands of dollars)"
