Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,43414,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,36678,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(ii)Other securities,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(i) Debt,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
(ii) Shares,0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Rogers Bank, As At July 31, 2024, (in thousands of dollars), Rogers Bank, As At July 31, 2024, (in thousands of dollars)"
