0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",823,18527,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",18460,260569,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,147962,1852303,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(ii)Other securities,194025,1792865,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(i) Debt,91120,328547,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(ii) Shares,0,0,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,35486,495841,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(v) Lease receivables,4466,3525459,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,564065,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,429151,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,134914,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,427411,7925696,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,0,151299,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,427411,7774397,"Canadian Western Bank, As At May 31, 2021, (in thousands of dollars), Canadian Western Bank, As At May 31, 2021, (in thousands of dollars)"
