Section I - Assets,Foreign Currency,Total Currency,P_Tags
Other securities,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Securities maturing within 3 years,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Other securities,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Shares,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Securities issued or guaranteed by a Canadian province,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment","Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Debt,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Shares,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Call and other short loans to investment dealers and brokers, secured",0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
To regulated financial institutions,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"To Canadian federal government, provinces, municipal or school corporations",0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
To foreign governments,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Lease receivables,0,9397,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
To individuals for non-business purposes,0,10950,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Reverse repurchase agreements,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
To individuals and others for business purposes,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Residential,Residential,Residential,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Insured,0,17599,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Uninsured,0,25654,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Non-residential,0,26161,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Customers' liability under acceptances, less allowances for impairment",0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
"Land, buildings, and equipment, less accumulated depreciation",0,55,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Insurance-related assets,Insurance-related assets,Insurance-related assets,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Policy loans,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Premiums outstanding,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Due from other insurers,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Other,0,0,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Other assets,Other assets,Other assets,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
Accrued interest,0,381,"Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars), Ubiquity Bank of Canada (Inactive Oct 02, 2007), As At September 30, 2007(in thousands of dollars)"
